Country;League;Season;Date;Time;Home;Away;HG;AG;Res;PH;PD;PA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Brazil;Serie A;2019;27/04/2019;20:00;Sao Paulo;Botafogo RJ;2;0;H;1.78;3.39;5.61;1.81;3.6;5.8;1.74;3.37;5.14
Brazil;Serie A;2019;27/04/2019;23:00;Atletico-MG;Avai;2;1;H;1.56;4.09;6.46;1.58;4.09;7;1.53;3.9;6.34
Brazil;Serie A;2019;27/04/2019;23:00;Chapecoense-SC;Internacional;2;0;H;3.02;3.03;2.71;3.15;3.2;2.71;2.94;2.94;2.59
Brazil;Serie A;2019;28/04/2019;01:00;Flamengo RJ;Cruzeiro;3;1;H;2.32;3.2;3.47;2.32;3.4;3.57;2.21;3.12;3.4
Brazil;Serie A;2019;28/04/2019;15:00;Gremio;Santos;1;2;A;1.71;3.58;5.78;1.83;3.6;5.94;1.71;3.41;5.31
Brazil;Serie A;2019;28/04/2019;20:00;Athletico-PR;Vasco;4;1;H;1.48;4.1;8.19;1.5;4.33;8.5;1.46;4.02;7.31
Brazil;Serie A;2019;28/04/2019;20:00;Bahia;Corinthians;3;2;H;2.28;3.14;3.63;2.35;3.3;3.69;2.23;3.06;3.44
Brazil;Serie A;2019;28/04/2019;20:00;Ceara;CSA;4;0;H;1.88;3.41;4.81;1.89;3.5;4.85;1.84;3.32;4.49
Brazil;Serie A;2019;28/04/2019;23:00;Fluminense;Goias;0;1;A;1.77;3.68;5.02;1.84;3.68;5.2;1.75;3.49;4.75
Brazil;Serie A;2019;28/04/2019;23:00;Palmeiras;Fortaleza;4;0;H;1.36;4.98;9.4;1.4;4.98;10;1.36;4.66;8.53
Brazil;Serie A;2019;01/05/2019;20:00;Corinthians;Chapecoense-SC;1;0;H;1.66;3.3;7.5;1.67;3.6;7.5;1.62;3.42;6.38
Brazil;Serie A;2019;01/05/2019;20:00;CSA;Palmeiras;1;1;D;7.04;3.93;1.56;7.8;4;1.56;6.88;3.85;1.51
Brazil;Serie A;2019;01/05/2019;20:00;Internacional;Flamengo RJ;2;1;H;2.44;3.1;3.34;2.44;3.22;3.34;2.33;3.09;3.17
Brazil;Serie A;2019;01/05/2019;23:15;Avai;Gremio;1;1;D;3.88;3.16;2.18;4.2;3.3;2.21;3.72;3.11;2.1
Brazil;Serie A;2019;01/05/2019;23:15;Cruzeiro;Ceara;1;0;H;1.52;3.71;8.93;1.52;4.65;9.05;1.46;3.97;7.58
Brazil;Serie A;2019;02/05/2019;01:30;Fortaleza;Athletico-PR;2;1;H;3.6;3.27;2.23;3.65;3.27;2.29;3.42;3.09;2.21
Brazil;Serie A;2019;02/05/2019;01:30;Goias;Sao Paulo;1;2;A;3.1;3.04;2.63;3.18;3.15;2.63;3.03;2.98;2.49
Brazil;Serie A;2019;02/05/2019;01:30;Vasco;Atletico-MG;1;2;A;3.27;3.3;2.37;3.4;3.38;2.37;3.15;3.17;2.3
Brazil;Serie A;2019;02/05/2019;23:15;Santos;Fluminense;2;1;H;1.65;3.73;6.13;1.68;3.9;6.5;1.61;3.69;5.64
Brazil;Serie A;2019;03/05/2019;00:00;Botafogo RJ;Bahia;3;2;H;2.36;3.06;3.57;2.36;3.15;3.57;2.27;3;3.42
Brazil;Serie A;2019;04/05/2019;23:00;Palmeiras;Internacional;1;0;H;1.61;3.81;6.5;1.66;4;6.5;1.6;3.7;5.78
Brazil;Serie A;2019;04/05/2019;23:00;Vasco;Corinthians;1;1;D;3.26;3.16;2.46;3.26;3.2;2.5;3.1;3.06;2.39
Brazil;Serie A;2019;05/05/2019;01:00;Ceara;Atletico-MG;1;2;A;2.42;3.18;3.29;2.42;3.25;3.3;2.31;3.12;3.17
Brazil;Serie A;2019;05/05/2019;15:00;Chapecoense-SC;Athletico-PR;1;1;D;2.64;2.99;3.15;2.66;3.13;3.2;2.49;2.96;3.04
Brazil;Serie A;2019;05/05/2019;20:00;Botafogo RJ;Fortaleza;1;0;H;1.72;4;4.87;1.81;4;5.3;1.71;3.68;4.74
Brazil;Serie A;2019;05/05/2019;20:00;Cruzeiro;Goias;2;1;H;1.4;4.54;9.35;1.43;4.6;11;1.38;4.36;8.71
Brazil;Serie A;2019;05/05/2019;20:00;CSA;Santos;0;0;D;4.84;3.49;1.85;5;3.55;1.89;4.57;3.37;1.81
Brazil;Serie A;2019;05/05/2019;20:00;Sao Paulo;Flamengo RJ;1;1;D;2.06;3.31;4.07;2.13;3.5;4.2;1.99;3.28;3.85
Brazil;Serie A;2019;05/05/2019;23:00;Bahia;Avai;1;0;H;1.62;3.91;6.1;1.65;3.91;7;1.6;3.68;5.87
Brazil;Serie A;2019;05/05/2019;23:00;Gremio;Fluminense;4;5;A;1.51;4.14;7.47;1.59;4.14;7.8;1.51;3.85;6.79
Brazil;Serie A;2019;11/05/2019;20:00;Fluminense;Botafogo RJ;0;1;A;2.1;3.3;3.95;2.1;3.4;4.16;1.98;3.26;3.91
Brazil;Serie A;2019;11/05/2019;23:00;Corinthians;Gremio;0;0;D;3;2.98;2.76;3.02;3.04;2.8;2.87;2.89;2.67
Brazil;Serie A;2019;12/05/2019;01:00;Goias;Ceara;2;1;H;2.16;3.18;3.93;2.2;3.24;4;2.12;3.08;3.69
Brazil;Serie A;2019;12/05/2019;15:00;Flamengo RJ;Chapecoense-SC;2;1;H;1.43;4.39;8.7;1.45;4.5;9.2;1.41;4.23;7.98
Brazil;Serie A;2019;12/05/2019;20:00;Atletico-MG;Palmeiras;0;2;A;3.37;2.96;2.52;3.37;3.2;2.52;3.12;2.99;2.42
Brazil;Serie A;2019;12/05/2019;20:00;Internacional;Cruzeiro;3;1;H;2.1;3.11;4.26;2.11;3.25;4.26;2.02;3.12;3.98
Brazil;Serie A;2019;12/05/2019;20:00;Santos;Vasco;3;0;H;1.4;4.71;8.56;1.48;4.8;8.56;1.4;4.52;7.44
Brazil;Serie A;2019;12/05/2019;23:00;Athletico-PR;Bahia;1;0;H;1.85;3.49;4.79;1.87;3.75;5;1.8;3.39;4.59
Brazil;Serie A;2019;12/05/2019;23:00;Avai;CSA;0;0;D;1.7;3.67;5.62;1.75;3.75;5.8;1.69;3.5;5.28
Brazil;Serie A;2019;12/05/2019;23:00;Fortaleza;Sao Paulo;0;1;A;2.97;3;2.77;3;3.15;2.77;2.86;3.03;2.58
